Folder,RelaxArea,c0Insertion,Col1,Col2,Col3,Col4,Col5,Ngags,Height
_change_ecc_spontcurv_44,74000.0,0.0,262.365, 1966.76, 0, 2230.42, 0.0598981,75,29.049935
_change_ecc_spontcurv_45,76000.0,0.0,206.011, 0.00611875, 0, 206.025, 0.000889649,75,29.094030
_change_ecc_spontcurv_46,78000.0,0.0,327.905, 95.3097, 0, 423.323, 0.0101553,75,30.065468
_change_ecc_spontcurv_47,80000.0,0.0,426.297, 7157.18, 0, 7584.77, 0.0383578,75,30.389313
_change_ecc_spontcurv_48,82000.0,0.0,475.985, 25663.8, 777.851, 27157.5, 0.188007,75,30.502250
_change_ecc_spontcurv_51,68000.0,0.01,384.198, 74865.4, 1838.34, 77231.7, 0.606691,75,28.674757
_change_ecc_spontcurv_52,70000.0,0.01,394.425, 41348.2, 592.689, 42452.7, 0.444719,75,28.813216
_change_ecc_spontcurv_53,72000.0,0.01,405.749, 16642.8, 0, 17063.9, 0.105467,75,28.929699
_change_ecc_spontcurv_54,74000.0,0.01,402.668, 1950.38, 0, 2353.51, 0.0691967,75,29.046532
_change_ecc_spontcurv_55,76000.0,0.01,335.778, 0.0106293, 0, 335.805, 0.000905447,75,28.997797
_change_ecc_spontcurv_56,78000.0,0.01,479.672, 95.4803, 0, 575.587, 0.0100135,75,30.099584
_change_ecc_spontcurv_57,80000.0,0.01,584.976, 7141.39, 0, 7727.59, 0.0586191,75,30.387976
_change_ecc_spontcurv_58,82000.0,0.01,634.932, 26166.2, 0, 27035.2, 0.0830939,75,30.488722
